MJD EXP COUNT COUNT_ERROR ONES ONES
59900.746821081855 3.472222222222222e-05 62.07826086956522 8.48528137423857 1.0 1.0
59900.74685580408 3.472222222222222e-05 61.243478260869566 8.602325267042627 1.0 1.0
59900.7468905263 3.472222222222222e-05 62.495652173913044 8.426149773176357 1.0 1.0
59900.746925248524 3.472222222222222e-05 77.49565217391304 9.273618495495704 1.0 1.0
59900.74695997075 3.472222222222222e-05 51.91304347826087 7.681145747868608 1.0 1.0
59900.74699469297 3.472222222222222e-05 62.99130434782609 8.94427190999916 1.0 1.0
59900.74702941519 3.472222222222222e-05 50.165217391304346 7.280109889280519 1.0 1.0
59900.74706413742 3.472222222222222e-05 51.66086956521739 7.937253933193772 1.0 1.0
59900.74709885964 3.472222222222222e-05 49.07826086956522 7.681145747868608 1.0 1.0
59900.74713358186 3.472222222222222e-05 41.91304347826087 7.0 1.0 1.0
59900.747168304086 3.472222222222222e-05 57.495652173913044 8.12403840463596 1.0 1.0
59900.74720302631 3.472222222222222e-05 52.74782608695652 7.54983443527075 1.0 1.0
59900.74723774853 3.472222222222222e-05 73.49565217391304 9.055385138137417 1.0 1.0
59900.747272470755 3.472222222222222e-05 52.243478260869566 8.06225774829855 1.0 1.0
59900.74730719298 3.472222222222222e-05 58.91304347826087 8.12403840463596 1.0 1.0
59900.7473419152 3.472222222222222e-05 52.91304347826087 7.745966692414834 1.0 1.0
59900.747376637424 3.472222222222222e-05 63.91304347826087 8.426149773176359 1.0 1.0
59900.74741135965 3.472222222222222e-05 66.74782608695652 8.426149773176359 1.0 1.0
59900.74744608187 3.472222222222222e-05 62.66086956521739 8.602325267042628 1.0 1.0
59900.74748080409 3.472222222222222e-05 65.6608695652174 8.774964387392123 1.0 1.0
59900.74751552632 3.472222222222222e-05 65.74782608695652 8.366600265340756 1.0 1.0
59900.74755024854 3.472222222222222e-05 53.40869565217391 8.306623862918075 1.0 1.0
59900.74758497076 3.472222222222222e-05 60.91304347826087 8.246211251235321 1.0 1.0
59900.747619692986 3.472222222222222e-05 71.6608695652174 9.1104335791443 1.0 1.0
59900.74765441521 3.472222222222222e-05 67.33043478260869 8.54400374531753 1.0 1.0
59900.74768913743 3.472222222222222e-05 66.74782608695652 8.426149773176359 1.0 1.0
59900.747723859655 3.472222222222222e-05 74.07826086956521 9.165151389911681 1.0 1.0
59900.74775858188 3.472222222222222e-05 64.82608695652173 8.888194417315589 1.0 1.0
59900.7477933041 3.472222222222222e-05 71.33043478260869 8.77496438739212 1.0 1.0
59900.747828026324 3.472222222222222e-05 62.07826086956522 8.48528137423857 1.0 1.0
59900.74786274855 3.472222222222222e-05 64.82608695652173 8.888194417315589 1.0 1.0
59900.74789747077 3.472222222222222e-05 71.33043478260869 8.77496438739212 1.0 1.0
59900.74793219299 3.472222222222222e-05 70.49565217391304 8.888194417315589 1.0 1.0
59900.747966915216 3.472222222222222e-05 59.74782608695652 7.999999999999999 1.0 1.0
59900.74800163744 3.472222222222222e-05 57.74782608695652 7.87400787401181 1.0 1.0
59900.74803635966 3.472222222222222e-05 70.74782608695652 8.660254037844386 1.0 1.0
59900.748071081885 3.472222222222222e-05 60.07826086956522 8.366600265340756 1.0 1.0
59900.74810580411 3.472222222222222e-05 61.91304347826087 8.306623862918075 1.0 1.0
59900.74814052633 3.472222222222222e-05 61.495652173913044 8.366600265340756 1.0 1.0
59900.748175248555 3.472222222222222e-05 52.07826086956522 7.874007874011811 1.0 1.0
59900.74820997078 3.472222222222222e-05 59.3304347826087 8.06225774829855 1.0 1.0
59900.748244693 3.472222222222222e-05 58.582608695652176 7.745966692414833 1.0 1.0
59900.748279415224 3.472222222222222e-05 42.495652173913044 7.14142842854285 1.0 1.0
59900.74831413745 3.472222222222222e-05 50.495652173913044 7.681145747868608 1.0 1.0
59900.74834885967 3.472222222222222e-05 60.07826086956522 8.366600265340756 1.0 1.0
59900.74838358189 3.472222222222222e-05 55.3304347826087 7.810249675906654 1.0 1.0
59900.748418304116 3.472222222222222e-05 53.91304347826087 7.810249675906654 1.0 1.0
59900.74845302634 3.472222222222222e-05 54.07826086956522 8.0 1.0 1.0
59900.74848774856 3.472222222222222e-05 52.91304347826087 7.745966692414834 1.0 1.0
59900.748522470785 3.472222222222222e-05 55.82608695652174 8.366600265340756 1.0 1.0
59900.74855719301 3.472222222222222e-05 58.3304347826087 8.0 1.0 1.0
59900.74859191523 3.472222222222222e-05 52.495652173913044 7.810249675906654 1.0 1.0
59900.748626637454 3.472222222222222e-05 53.66086956521739 8.06225774829855 1.0 1.0
59900.74866135968 3.472222222222222e-05 66.91304347826087 8.602325267042627 1.0 1.0
59900.7486960819 3.472222222222222e-05 65.07826086956521 8.660254037844387 1.0 1.0
59900.74873080412 3.472222222222222e-05 64.82608695652173 8.888194417315589 1.0 1.0
